origin,path,cloneUrl,branch
github.com,shopizer-ecommerce/shopizer,https://github.com/shopizer-ecommerce/shopizer,3.2.7
github.com,bryanfriedman/prethink-ecommerce-example,https://github.com/bryanfriedman/prethink-ecommerce-example,main
